Digikey,,,,,
Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Quantity,Description,Component Number on PCB
SN74HC125N,Texas Instruments,296-1572-5-ND,1,IC BUFFER NON-INVERT 6V 14DIP,U2
A 14-LC-TT,Assmann WSW Components,AE9989-ND,1,CONN IC DIP SOCKET 14POS TIN,U2
OS102011MS2QN1,C&K,CKN9565-ND,1,SWITCH SLIDE SPDT 100MA 12V,S1
SDS-50J,CUI Inc.,CP-2350-ND,1,CONN RCPT FMALE DIN 5POS SOLDER,J2
DEV-14057,SparkFun Electronics,1568-1442-ND,1,TEENSY 3.6 W/OUT HDRS K66 EVAL,U1
SJ1-3533NG,CUI Inc.,CP1-3533NG-ND,2,CONN JACK STEREO 3.5MM R/A,J1/J0
CF14JT220R,Stackpole Electronics Inc,CF14JT220RCT-ND,2,RES 220 OHM 1/4W 5% AXIAL,R3/R2
CF14JT10K0,Stackpole Electronics Inc,CF14JT10K0CT-ND,3,RES 10K OHM 1/4W 5% AXIAL,R4
PPTC241LFBN-RC,Sullins Connector Solutions,S7022-ND,2,CONN HDR 24POS 0.1 TIN PCB,U1
PRPC028SACN-RC,Sullins Connector Solutions,S1131EC-28-ND,2,CONN HEADER VERT 28POS 2.54MM,U1
R82EC1100SH50J,KEMET,399-11751-ND,2,CAP FILM 1000PF 5% 100VDC RADIAL,C4/C3
UMA1C100MDD1TP,Nichicon,493-10458-1-ND,2,CAP ALUM 10UF 20% 16V RADIAL,C2/C1
CF14JT5K10‎,Stackpole Electronics Inc,CF14JT5K10CT-ND,2,RES 5K OHM 1/4W 5% AXIAL,R5/R6
